updateddate,addeddate,reportdate,icu_np_o,beds_ward_v,isolbed_o,icu_wnp_v,hfhudcode,beds_ward_o,id,reporttime,icu_np_v,mechvent_o,mechvent_v,isolbed_v,icu_wnp_o,cfname
4/1/2020 7:25,4/1/2020 7:25,4/1/2020,0,0,11,0,DOH000000000000266,0,1356,1,0,0,0,0,2,CAMARINES NORTE PROVINCIAL HOSPITAL
4/6/2020 16:24,4/6/2020 16:24,4/6/2020,0,0,32,2,DOH000000000000268,0,4823,3,0,0,2,8,0,DAVAO REGIONAL MEDICAL CENTER
4/13/2020 6:49,4/13/2020 6:49,4/13/2020,0,0,13,2,DOH000000000000268,0,10902,1,0,0,2,27,0,DAVAO REGIONAL MEDICAL CENTER
4/1/2020 7:51,4/1/2020 7:51,4/1/2020,0,0,31,2,DOH000000000000268,0,1799,3,0,0,2,9,0,DAVAO REGIONAL MEDICAL CENTER
4/7/2020 10:20,4/7/2020 10:20,4/7/2020,0,0,32,2,DOH000000000000268,0,5249,1,0,0,2,8,0,DAVAO REGIONAL MEDICAL CENTER
4/5/2020 7:40,4/5/2020 7:40,4/5/2020,0,0,33,2,DOH000000000000268,0,3552,1,0,0,2,7,0,DAVAO REGIONAL MEDICAL CENTER
4/9/2020 19:46,4/9/2020 19:46,4/9/2020,0,0,16,2,DOH000000000000268,0,7751,3,0,0,2,24,0,DAVAO REGIONAL MEDICAL CENTER
3/28/2020 17:48,3/28/2020 17:48,3/28/2020,0,0,30,2,DOH000000000000268,0,335,3,0,0,2,12,0,DAVAO REGIONAL MEDICAL CENTER
3/31/2020 6:08,3/31/2020 6:08,3/31/2020,0,0,32,2,DOH000000000000268,0,907,1,0,0,2,8,0,DAVAO REGIONAL MEDICAL CENTER
4/8/2020 16:34,4/8/2020 16:34,4/8/2020,0,0,27,2,DOH000000000000268,0,6650,3,0,0,2,13,0,DAVAO REGIONAL MEDICAL CENTER
4/3/2020 20:29,4/3/2020 20:29,4/3/2020,0,0,29,2,DOH000000000000268,0,2932,3,0,0,2,11,0,DAVAO REGIONAL MEDICAL CENTER
3/30/2020 22:07,3/30/2020 22:07,3/30/2020,0,0,33,2,DOH000000000000268,0,904,3,0,0,2,7,0,DAVAO REGIONAL MEDICAL CENTER
4/12/2020 16:31,4/12/2020 16:31,4/12/2020,0,0,11,2,DOH000000000000268,0,10751,3,0,0,2,29,0,DAVAO REGIONAL MEDICAL CENTER
4/11/2020 5:43,4/11/2020 5:43,4/11/2020,0,0,13,2,DOH000000000000268,0,8793,1,0,0,2,27,0,DAVAO REGIONAL MEDICAL CENTER
4/4/2020 6:29,4/4/2020 6:29,4/4/2020,0,0,28,2,DOH000000000000268,0,2941,1,0,0,2,12,0,DAVAO REGIONAL MEDICAL CENTER
3/29/2020 6:29,3/29/2020 6:29,3/29/2020,0,0,32,2,DOH000000000000268,0,349,1,0,0,2,8,0,DAVAO REGIONAL MEDICAL CENTER
4/2/2020 10:41,4/2/2020 10:41,4/2/2020,0,0,32,2,DOH000000000000268,0,2027,1,0,0,2,8,0,DAVAO REGIONAL MEDICAL CENTER
