updateddate,addeddate,reporttime,id,icu_np_v,er_suspro,hfhudcode,mechvent_v,beds_ward_v,icu_np_o,mechvent_o,icu_wnp_v,isolbed_o,adm_suspro,beds_ward_o,er_confirm,reportdate,adm_confirm,icu_wnp_o,isolbed_v,cfname
2020-04-01 7:25:00,2020-04-01 7:25:00,1,1356,0,2,DOH000000000000266,0,0,0,0,0,11,11,0,0,2020-04-01,0,2,0,CAMARINES NORTE PROVINCIAL HOSPITAL
2020-04-03 20:29:47,2020-04-03 20:29:47,3,2932,0,0,DOH000000000000268,2,0,0,0,2,29,18,0,0,2020-04-03,11,0,11,DAVAO REGIONAL MEDICAL CENTER
2020-04-13 6:49:42,2020-04-13 6:49:42,1,10902,0,0,DOH000000000000268,2,0,0,0,2,13,7,0,0,2020-04-13,6,0,27,DAVAO REGIONAL MEDICAL CENTER
2020-03-28 17:48:43,2020-03-28 17:48:43,3,335,0,0,DOH000000000000268,2,0,0,0,2,30,4,0,0,2020-03-28,1,0,12,DAVAO REGIONAL MEDICAL CENTER
2020-04-11 5:43:27,2020-04-11 5:43:27,1,8793,0,0,DOH000000000000268,2,0,0,0,2,13,5,0,0,2020-04-11,8,0,27,DAVAO REGIONAL MEDICAL CENTER
2020-04-08 16:34:01,2020-04-08 16:34:01,3,6650,0,0,DOH000000000000268,2,0,0,0,2,27,17,0,0,2020-04-08,10,0,13,DAVAO REGIONAL MEDICAL CENTER
2020-03-31 6:08:11,2020-03-31 6:08:11,1,907,0,0,DOH000000000000268,2,0,0,0,2,32,25,0,0,2020-03-31,7,0,8,DAVAO REGIONAL MEDICAL CENTER
2020-03-29 6:29:09,2020-03-29 6:29:09,1,349,0,0,DOH000000000000268,2,0,0,0,2,32,4,0,0,2020-03-29,1,0,8,DAVAO REGIONAL MEDICAL CENTER
2020-04-10 17:15:27,2020-04-10 17:15:27,3,8720,0,0,DOH000000000000268,2,0,0,0,2,16,8,0,0,2020-04-10,8,0,24,DAVAO REGIONAL MEDICAL CENTER
2020-04-02 10:41:43,2020-04-02 10:41:43,1,2027,0,0,DOH000000000000268,2,0,0,0,2,32,22,0,0,2020-04-02,10,0,8,DAVAO REGIONAL MEDICAL CENTER
2020-04-04 6:29:20,2020-04-04 6:29:20,1,2941,0,0,DOH000000000000268,2,0,0,0,2,28,17,0,0,2020-04-04,11,0,12,DAVAO REGIONAL MEDICAL CENTER
2020-04-12 16:31:58,2020-04-12 16:31:58,3,10751,0,0,DOH000000000000268,2,0,0,0,2,11,5,0,0,2020-04-12,6,0,29,DAVAO REGIONAL MEDICAL CENTER
2020-04-06 16:24:01,2020-04-06 16:24:01,3,4823,0,0,DOH000000000000268,2,0,0,0,2,32,22,0,0,2020-04-06,10,0,8,DAVAO REGIONAL MEDICAL CENTER
2020-03-30 22:07:35,2020-03-30 22:07:35,3,904,0,0,DOH000000000000268,2,0,0,0,2,33,32,0,0,2020-03-30,1,0,7,DAVAO REGIONAL MEDICAL CENTER
2020-04-09 19:46:44,2020-04-09 19:46:44,3,7751,0,0,DOH000000000000268,2,0,0,0,2,16,8,0,0,2020-04-09,8,0,24,DAVAO REGIONAL MEDICAL CENTER
2020-04-01 7:51:31,2020-04-01 7:51:31,3,1799,0,0,DOH000000000000268,2,0,0,0,2,31,21,0,0,2020-04-01,10,0,9,DAVAO REGIONAL MEDICAL CENTER
2020-04-05 7:40:15,2020-04-05 7:40:15,1,3552,0,0,DOH000000000000268,2,0,0,0,2,33,23,0,0,2020-04-05,10,0,7,DAVAO REGIONAL MEDICAL CENTER
2020-04-07 10:20:08,2020-04-07 10:20:08,1,5249,0,0,DOH000000000000268,2,0,0,0,2,32,22,0,0,2020-04-07,10,0,8,DAVAO REGIONAL MEDICAL CENTER
2020-04-03 11:49:21,2020-04-03 11:49:21,2,2601,0,0,DOH000000000000269,4,2,5,2,0,32,32,3,0,2020-04-03,1,0,3,TARLAC PROVINCIAL HOSPITAL
2020-04-14 16:26:41,2020-04-14 16:26:41,3,13389,0,1,DOH000000000000269,6,4,0,4,5,27,27,1,0,2020-04-14,1,3,6,TARLAC PROVINCIAL HOSPITAL
2020-04-08 6:35:03,2020-04-08 6:35:03,1,5807,0,0,DOH000000000000269,8,5,0,2,8,27,31,1,0,2020-04-08,1,4,30,TARLAC PROVINCIAL HOSPITAL
2020-04-12 17:56:44,2020-04-12 17:56:44,3,10820,0,1,DOH000000000000269,6,4,0,4,4,30,30,1,0,2020-04-12,1,4,0,TARLAC PROVINCIAL HOSPITAL
2020-04-13 16:15:39,2020-04-13 16:15:39,3,11951,0,1,DOH000000000000269,6,4,0,4,4,29,29,1,0,2020-04-13,1,4,1,TARLAC PROVINCIAL HOSPITAL
2020-03-31 1:25:46,2020-03-31 1:25:46,1,1169,0,0,DOH000000000000269,6,5,0,0,8,18,18,0,0,2020-03-31,0,3,17,TARLAC PROVINCIAL HOSPITAL
2020-04-02 4:21:48,2020-04-02 4:21:48,3,2257,0,0,DOH000000000000269,4,4,0,2,2,29,30,1,0,2020-04-02,1,4,1,TARLAC PROVINCIAL HOSPITAL
2020-04-01 3:29:39,2020-04-01 3:29:39,3,1691,0,0,DOH000000000000269,4,5,0,2,2,24,23,2,0,2020-04-01,2,6,6,TARLAC PROVINCIAL HOSPITAL
2020-03-30 15:32:53,2020-03-30 15:32:53,3,810,0,0,DOH000000000000269,6,5,0,0,6,19,19,0,0,2020-03-30,0,2,1,TARLAC PROVINCIAL HOSPITAL
2020-04-07 21:05:23,2020-04-07 21:05:23,3,5785,0,0,DOH000000000000269,8,4,0,2,8,28,28,1,0,2020-04-07,1,4,2,TARLAC PROVINCIAL HOSPITAL
2020-04-15 11:42:27,2020-04-15 11:42:27,2,14276,0,3,DOH000000000000269,6,4,0,4,5,26,26,1,0,2020-04-15,1,3,7,TARLAC PROVINCIAL HOSPITAL
2020-04-06 17:32:57,2020-04-06 17:32:57,3,4894,0,0,DOH000000000000269,2,5,0,8,8,34,34,1,0,2020-04-06,1,4,4,TARLAC PROVINCIAL HOSPITAL
2020-04-11 17:32:14,2020-04-11 17:32:14,3,9792,0,0,DOH000000000000269,8,4,0,2,5,24,23,1,0,2020-04-11,1,3,11,TARLAC PROVINCIAL HOSPITAL
2020-04-13 8:18:37,2020-04-13 8:18:37,1,11115,0,0,DOH000000000000270,1,0,0,0,3,14,9,5,0,2020-04-13,5,1,7,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-08 16:20:54,2020-04-08 16:20:54,3,6623,0,0,DOH000000000000270,1,1,0,0,4,11,7,4,0,2020-04-08,4,0,10,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-02 8:04:25,2020-04-02 8:04:25,1,1883,0,0,DOH000000000000270,1,8,0,0,0,12,9,0,0,2020-04-02,12,0,1,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-03 19:10:13,2020-04-03 19:10:13,3,2927,0,0,DOH000000000000270,1,2,0,0,5,11,8,3,0,2020-04-03,3,0,13,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-06 17:11:15,2020-04-06 17:11:15,3,4881,0,0,DOH000000000000270,1,1,0,0,5,11,5,4,0,2020-04-06,4,0,13,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-12 8:31:36,2020-04-12 8:31:36,1,10096,0,0,DOH000000000000270,1,1,0,0,4,14,15,4,0,2020-04-12,4,0,7,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-14 15:57:05,2020-04-14 15:57:05,3,13233,0,0,DOH000000000000270,1,0,0,0,3,15,11,5,0,2020-04-14,5,1,6,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-05 18:26:02,2020-04-05 18:26:02,3,4112,0,0,DOH000000000000270,1,1,0,0,1,11,7,4,0,2020-04-05,4,0,12,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-11 18:14:44,2020-04-11 18:14:44,3,9816,0,0,DOH000000000000270,1,1,0,0,4,17,13,4,0,2020-04-11,4,0,4,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
2020-04-03 11:44:52,2020-04-03 11:44:52,2,2592,5,0,DOH000000000000271,30,14,1,28,2,22,40,18,0,2020-04-03,18,12,38,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-03-31 9:04:56,2020-03-31 11:52:17,2,1115,4,0,DOH000000000000271,21,15,2,37,7,19,26,17,0,2020-03-31,17,7,41,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
