updateddate,addeddate,reportdate,mechvent_tech,goggles,er_nurse,gloves,icu_nurse,head_cover,pulmo,respthe,shoe_cover,face_shield,ward_nurse,id,hfhudcode,ic_specialist,surgmask,medtech,gown,resident,id_specialist,n95mask,cfname
2020-04-03 3:59:01,2020-04-03 3:59:01,2020-04-03,0,0,0,5,0,30,0,0,0,15,1899-12-30,173,DOH000000000033472,0,2,0,9,0,0,2,ROVILLOS HOSPITAL
2020-04-10 15:55:52,2020-04-10 15:55:52,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,446,DOH000000000000579,0,0,0,0,0,0,0,JAMELARIN HOSPITAL
2020-04-10 15:25:00,2020-04-10 15:25:00,2020-04-10,0,0,0,3,0,0,0,0,0,0,1899-12-30,403,DOH000000000000363,0,3,0,0,0,0,0,DR. ROBOSA HOSPITAL
2020-04-03 2:15:36,2020-04-03 2:15:36,2020-04-03,0,0,0,2,0,20,0,0,0,0,1899-12-30,123,DOH000000000000757,0,2,0,2,0,0,0,ST. CLAIRE HOSPITAL
2020-04-10 16:10:23,2020-04-10 16:10:23,2020-04-10,0,0,0,2,0,18,0,0,0,0,1899-12-30,478,DOH000000000000757,0,2,0,2,0,0,0,ST. CLAIRE HOSPITAL
2020-04-07 8:57:33,2020-04-07 8:57:33,2020-04-07,0,0,0,2,0,18,0,0,0,0,1899-12-30,265,DOH000000000000757,0,2,0,2,0,0,0,ST. CLAIRE HOSPITAL
2020-04-10 16:05:12,2020-04-10 16:05:12,2020-04-10,0,4,0,4,0,10,0,0,0,10,1899-12-30,467,DOH000000000037303,0,1,0,4,0,0,1,VIACRUCIS INFIRMARY
2020-04-06 14:50:04,2020-04-06 14:50:04,2020-04-06,0,0,0,10,0,5,0,0,0,20,1899-12-30,259,DOH000000000032075,0,2,0,0,0,0,0,JUVELO FAMILY CLINIC
2020-04-10 18:33:17,2020-04-10 18:33:17,2020-04-10,0,35,0,6,0,120,0,0,100,40,1899-12-30,549,DOH000000000035681,0,2,0,112,0,0,0,LEGAZPI CITY HOSPITAL
2020-04-03 2:54:08,2020-04-03 2:54:08,2020-04-03,0,2,0,20,0,2700,0,0,0,20,1899-12-30,127,DOH000000000003315,0,40,0,50,0,0,12,ABELLA MIDWAY HOSPITAL
2020-04-03 4:28:31,2020-04-03 4:28:31,2020-04-03,0,10,0,2,0,25,0,0,7,10,1899-12-30,190,DOH000000000002490,0,0,0,5,0,0,0,AMOROSO MEDICAL CLINIC
2020-04-10 16:23:14,2020-04-10 16:23:14,2020-04-10,0,10,0,0,0,10,0,0,7,10,1899-12-30,495,DOH000000000002490,0,0,0,3,0,0,0,AMOROSO MEDICAL CLINIC
2020-04-03 3:24:28,2020-04-03 3:24:28,2020-04-03,0,630,0,3992,0,600,0,0,0,0,1899-12-30,139,DOH000000000004534,0,963,0,710,0,0,86,DAVAO DOCTORS HOSPITAL
