updateddate,addeddate,hfhudcode,medtech,icu_nurse,resident,gown,id_specialist,er_nurse,ward_nurse,id,reportdate,gloves,surgmask,mechvent_tech,pulmo,respthe,shoe_cover,face_shield,n95mask,goggles,ic_specialist,head_cover,cfname
2020-04-03 3:59:01,2020-04-03 3:59:01,DOH000000000033472,0,0,0,9,0,0,0,173,2020-04-03,5,2,0,0,0,0,15,2,0,0,30,ROVILLOS HOSPITAL
2020-04-10 15:55:52,2020-04-10 15:55:52,DOH000000000000579,0,0,0,0,0,0,0,446,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,JAMELARIN HOSPITAL
2020-04-10 15:25:00,2020-04-10 15:25:00,DOH000000000000363,0,0,0,0,0,0,0,403,2020-04-10,3,3,0,0,0,0,0,0,0,0,0,DR. ROBOSA HOSPITAL
2020-04-03 2:15:36,2020-04-03 2:15:36,DOH000000000000757,0,0,0,2,0,0,0,123,2020-04-03,2,2,0,0,0,0,0,0,0,0,20,ST. CLAIRE HOSPITAL
2020-04-10 16:10:23,2020-04-10 16:10:23,DOH000000000000757,0,0,0,2,0,0,0,478,2020-04-10,2,2,0,0,0,0,0,0,0,0,18,ST. CLAIRE HOSPITAL
2020-04-07 8:57:33,2020-04-07 8:57:33,DOH000000000000757,0,0,0,2,0,0,0,265,2020-04-07,2,2,0,0,0,0,0,0,0,0,18,ST. CLAIRE HOSPITAL
2020-04-10 16:05:12,2020-04-10 16:05:12,DOH000000000037303,0,0,0,4,0,0,0,467,2020-04-10,4,1,0,0,0,0,10,1,4,0,10,VIACRUCIS INFIRMARY
2020-04-06 14:50:04,2020-04-06 14:50:04,DOH000000000032075,0,0,0,0,0,0,0,259,2020-04-06,10,2,0,0,0,0,20,0,0,0,5,JUVELO FAMILY CLINIC
2020-04-10 18:33:17,2020-04-10 18:33:17,DOH000000000035681,0,0,0,112,0,0,0,549,2020-04-10,6,2,0,0,0,100,40,0,35,0,120,LEGAZPI CITY HOSPITAL
2020-04-03 2:54:08,2020-04-03 2:54:08,DOH000000000003315,0,0,0,50,0,0,0,127,2020-04-03,20,40,0,0,0,0,20,12,2,0,2700,ABELLA MIDWAY HOSPITAL
2020-04-10 16:23:14,2020-04-10 16:23:14,DOH000000000002490,0,0,0,3,0,0,0,495,2020-04-10,0,0,0,0,0,7,10,0,10,0,10,AMOROSO MEDICAL CLINIC
2020-04-03 4:28:31,2020-04-03 4:28:31,DOH000000000002490,0,0,0,5,0,0,0,190,2020-04-03,2,0,0,0,0,7,10,0,10,0,25,AMOROSO MEDICAL CLINIC
