cfname,updateddate,addeddate,beds_ward_v,id,hfhudcode,icu_o,isolbed_v,reportdate,isolbed_o,mechvent_o,mechvent_v,beds_ward_o,icu_v
TARLAC PROVINCIAL HOSPITAL,2020-04-17 6:54:02,2020-04-17 6:54:02,4,754,DOH000000000000269,0,7,2020-04-17,26,2,8,1,0
TARLAC PROVINCIAL HOSPITAL,2020-04-16 9:05:50,2020-04-16 9:05:50,4,263,DOH000000000000269,0,9,2020-04-16,24,4,6,1,0
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 14:49:13,2020-04-17 14:49:13,0,1461,DOH000000000000271,13,43,2020-04-17,51,0,28,0,7
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-16 17:12:04,2020-04-16 17:12:04,0,678,DOH000000000000271,13,45,2020-04-16,49,0,28,0,7
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-17 15:00:31,2020-04-17 12:46:17,0,1390,DOH000000000000272,1,0,2020-04-17,22,2,14,0,1
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-17 8:22:18,2020-04-17 8:22:18,0,993,DOH000000000000274,8,37,2020-04-17,29,2,13,0,7
RAMOS GENERAL HOSPITAL,2020-04-17 10:29:31,2020-04-17 10:29:31,0,1271,DOH000000000000393,1,0,2020-04-17,2,1,8,0,0
RAMOS GENERAL HOSPITAL,2020-04-16 14:33:52,2020-04-16 14:33:52,0,572,DOH000000000000393,1,0,2020-04-16,2,1,8,0,0
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2020-04-16 14:04:14,2020-04-16 14:04:14,0,539,DOH000000000000446,6,5,2020-04-16,14,2,8,0,1
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-17 13:53:44,2020-04-17 13:53:44,64,1430,DOH000000000000502,0,64,2020-04-17,39,0,51,39,97
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-17 11:38:37,2020-04-17 11:38:37,0,1344,DOH000000000000512,0,0,2020-04-17,3,0,13,0,1
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-16 12:54:06,2020-04-16 12:54:06,0,487,DOH000000000000512,0,1,2020-04-16,4,0,13,0,1
EAST AVENUE MEDICAL CENTER,2020-04-16 15:14:00,2020-04-16 15:14:00,25,600,DOH000000000000540,7,3,2020-04-16,53,6,18,22,0
"MEDICAL CENTER MANILA, INC.",2020-04-17 8:12:46,2020-04-17 8:12:46,0,942,DOH000000000000655,2,0,2020-04-17,14,0,18,0,0
PASIG CITY GENERAL HOSPITAL,2020-04-17 12:26:45,2020-04-17 12:26:45,0,1372,DOH000000000000700,10,1,2020-04-17,6,1,6,3,4
CAGAYAN VALLEY MEDICAL CENTER,2020-04-17 11:26:00,2020-04-17 11:26:00,19,1333,DOH000000000002162,0,74,2020-04-17,14,0,10,0,5
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-16 11:57:19,2020-04-16 11:57:19,17,443,DOH000000000002777,2,9,2020-04-16,26,2,13,5,17
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-17 8:56:33,2020-04-17 8:56:33,18,1124,DOH000000000002777,3,7,2020-04-17,28,2,13,4,16
BATANGAS MEDICAL CENTER,2020-04-16 15:14:54,2020-04-16 15:14:54,0,601,DOH000000000002829,0,0,2020-04-16,20,1,29,0,0
ZAMBOANGA CITY MEDICAL CENTER,2020-04-16 17:10:01,2020-04-16 17:10:01,1,677,DOH000000000003815,6,28,2020-04-16,57,2,10,4,0
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,2020-04-16 10:49:30,2020-04-16 10:49:30,12,387,DOH000000000004299,0,19,2020-04-16,3,0,13,0,0
"ILOILO MISSION HOSPITAL, INC.",2020-04-17 8:28:39,2020-04-17 8:28:39,0,1016,DOH000000000005614,0,0,2020-04-17,4,0,12,0,0
SACRED HEART MEDICAL CENTER,2020-04-16 16:11:02,2020-04-16 16:11:02,0,645,DOH000000000005661,1,1,2020-04-16,1,9,9,0,1
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-16 13:01:57,2020-04-16 13:01:57,0,495,DOH000000000005937,0,29,2020-04-16,3,1,23,0,20
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-17 12:03:45,2020-04-17 12:03:45,0,1363,DOH000000000005937,0,29,2020-04-17,3,1,23,0,20
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-17 8:02:04,2020-04-17 8:02:04,15,883,DOH000000000006592,3,15,2020-04-17,3,0,7,3,3
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-16 8:53:25,2020-04-16 8:53:25,14,240,DOH000000000006592,4,14,2020-04-16,4,0,7,4,2
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-17 8:55:12,2020-04-17 8:55:12,1,1119,DOH000000000007520,0,0,2020-04-17,0,3,7,8,0
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-16 15:28:57,2020-04-16 15:28:57,0,614,DOH000000000007520,0,0,2020-04-16,0,3,7,9,0
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-17 10:27:52,2020-04-17 10:27:52,0,1264,DOH000000000023755,3,0,2020-04-17,0,0,7,6,0
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-16 14:00:29,2020-04-16 14:00:29,0,535,DOH000000000023755,12,0,2020-04-16,0,0,7,1,0
PIDDIG DISTRICT HOSPITAL,2020-04-16 8:31:02,2020-04-16 8:31:02,2,184,DOH000000000000001,0,0,2020-04-16,0,0,0,0,0
PIDDIG DISTRICT HOSPITAL,2020-04-17 8:30:52,2020-04-17 8:30:52,0,1027,DOH000000000000001,0,2,2020-04-17,0,0,0,0,0
LABASON DISTRICT HOSPITAL,2020-04-17 11:37:57,2020-04-17 11:37:57,0,1342,DOH000000000000004,0,2,2020-04-17,0,0,0,0,0
LABASON DISTRICT HOSPITAL,2020-04-16 9:07:51,2020-04-16 9:07:51,0,267,DOH000000000000004,0,2,2020-04-16,0,0,0,0,0
LA PAZ MUNICIPAL HOSPITAL,2020-04-16 8:07:14,2020-04-16 8:07:14,0,137,DOH000000000000019,0,0,2020-04-16,0,0,0,0,0
LA PAZ MUNICIPAL HOSPITAL,2020-04-17 8:21:33,2020-04-17 8:21:33,0,988,DOH000000000000019,0,0,2020-04-17,0,0,0,0,0
BANGUI DISTRICT HOSPITAL,2020-04-16 13:50:21,2020-04-16 13:50:21,0,527,DOH000000000000023,0,1,2020-04-16,0,0,0,0,0
BANGUI DISTRICT HOSPITAL,2020-04-17 8:27:41,2020-04-17 8:27:41,0,1012,DOH000000000000023,0,1,2020-04-17,0,0,0,0,0
GERTES CLINIC AND HOSPITAL,2020-04-16 14:09:56,2020-04-16 14:09:56,0,546,DOH000000000000024,0,0,2020-04-16,0,0,0,0,0
GERTES CLINIC AND HOSPITAL,2020-04-17 8:49:19,2020-04-17 8:49:19,0,1100,DOH000000000000024,0,0,2020-04-17,0,0,0,0,0
SIRUMA MUNICIPAL HOSPITAL,2020-04-17 8:11:53,2020-04-17 8:11:53,0,936,DOH000000000000060,0,0,2020-04-17,0,0,0,0,0
SIRUMA MUNICIPAL HOSPITAL,2020-04-16 8:24:25,2020-04-16 8:24:25,0,171,DOH000000000000060,0,0,2020-04-16,0,0,0,0,0
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-16 13:31:06,2020-04-16 13:31:06,0,515,DOH000000000000143,0,5,2020-04-16,0,0,0,0,0
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-17 11:40:49,2020-04-17 11:40:49,0,1345,DOH000000000000143,0,5,2020-04-17,0,0,0,0,0
BARILI DISTRICT HOSPITAL,2020-04-17 8:32:01,2020-04-17 8:32:01,2,1035,DOH000000000000221,0,2,2020-04-17,0,0,0,0,0
BULALACAO COMMUNITY HOSPITAL,2020-04-16 14:38:27,2020-04-16 14:35:39,0,573,DOH000000000000222,0,5,2020-04-16,3,0,0,0,0
OSLOB DISTRICT HOSPITAL,2020-04-16 12:25:10,2020-04-16 12:25:10,0,472,DOH000000000000225,0,2,2020-04-16,0,0,0,0,0
OSLOB DISTRICT HOSPITAL,2020-04-17 8:48:13,2020-04-17 8:48:13,0,1094,DOH000000000000225,0,2,2020-04-17,0,0,0,0,0
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-17 13:09:15,2020-04-17 13:09:15,0,1398,DOH000000000000226,0,1,2020-04-17,1,0,0,0,0
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-16 17:24:32,2020-04-16 17:24:32,0,683,DOH000000000000226,0,1,2020-04-16,1,0,0,0,0
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-16 11:19:39,2020-04-16 11:19:39,3,408,DOH000000000000227,0,3,2020-04-16,1,0,0,0,0
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-17 7:59:45,2020-04-17 7:59:45,0,873,DOH000000000000227,0,3,2020-04-17,1,0,0,0,0
QUEZON MEDICARE HOSPITAL,2020-04-17 9:57:32,2020-04-17 9:57:32,0,1229,DOH000000000000228,0,0,2020-04-17,0,0,0,0,0
