cfname,updateddate,addeddate,reportdate,beds_ward_o,mechvent_o,isolbed_o,beds_ward_v,hfhudcode,icu_o,isolbed_v,icu_v,mechvent_v,id
TARLAC PROVINCIAL HOSPITAL,2020-04-17 6:54:02,2020-04-17 6:54:02,2020-04-17,1,2,26,4,DOH000000000000269,0,7,0,8,754
TARLAC PROVINCIAL HOSPITAL,2020-04-16 9:05:50,2020-04-16 9:05:50,2020-04-16,1,4,24,4,DOH000000000000269,0,9,0,6,263
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-19 10:47:21,2020-04-19 10:47:21,2020-04-19,0,0,57,0,DOH000000000000271,17,37,3,28,3021
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 14:49:13,2020-04-17 14:49:13,2020-04-17,0,0,51,0,DOH000000000000271,13,43,7,28,1461
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-16 17:12:04,2020-04-16 17:12:04,2020-04-16,0,0,49,0,DOH000000000000271,13,45,7,28,678
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-18 15:29:53,2020-04-18 8:05:37,2020-04-18,0,0,55,0,DOH000000000000271,14,39,6,28,1803
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-17 15:00:31,2020-04-17 12:46:17,2020-04-17,0,2,22,0,DOH000000000000272,1,0,1,14,1390
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-19 11:39:26,2020-04-19 11:39:26,2020-04-19,0,2,22,0,DOH000000000000272,1,0,1,14,3071
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-18 9:34:19,2020-04-18 9:34:19,2020-04-18,0,1,22,0,DOH000000000000272,1,0,1,15,2077
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-17 8:22:18,2020-04-17 8:22:18,2020-04-17,0,2,29,0,DOH000000000000274,8,37,7,13,993
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-19 8:10:59,2020-04-19 8:10:59,2020-04-19,0,1,15,0,DOH000000000000274,1,51,14,14,2688
RAMOS GENERAL HOSPITAL,2020-04-17 10:29:31,2020-04-17 10:29:31,2020-04-17,0,1,2,0,DOH000000000000393,1,0,0,8,1271
RAMOS GENERAL HOSPITAL,2020-04-16 14:33:52,2020-04-16 14:33:52,2020-04-16,0,1,2,0,DOH000000000000393,1,0,0,8,572
RAMOS GENERAL HOSPITAL,2020-04-18 11:00:23,2020-04-18 11:00:23,2020-04-18,0,1,2,0,DOH000000000000393,1,0,0,8,2173
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2020-04-18 9:45:02,2020-04-18 9:45:02,2020-04-18,0,4,18,0,DOH000000000000446,7,1,0,6,2095
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2020-04-16 14:04:14,2020-04-16 14:04:14,2020-04-16,0,2,14,0,DOH000000000000446,6,5,1,8,539
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-19 8:36:18,2020-04-19 8:36:18,2020-04-19,39,1,39,64,DOH000000000000502,1,64,96,50,2804
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-18 9:08:37,2020-04-18 9:08:37,2020-04-18,38,1,38,65,DOH000000000000502,1,65,96,50,2024
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-17 13:53:44,2020-04-17 13:53:44,2020-04-17,39,0,39,64,DOH000000000000502,0,64,97,51,1430
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-17 11:38:37,2020-04-17 11:38:37,2020-04-17,0,0,3,0,DOH000000000000512,0,0,1,13,1344
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-16 12:54:06,2020-04-16 12:54:06,2020-04-16,0,0,4,0,DOH000000000000512,0,1,1,13,487
EAST AVENUE MEDICAL CENTER,2020-04-18 20:51:18,2020-04-18 20:51:18,2020-04-18,15,6,51,5,DOH000000000000540,7,13,0,18,2430
EAST AVENUE MEDICAL CENTER,2020-04-17 20:49:44,2020-04-17 20:49:44,2020-04-17,13,6,49,7,DOH000000000000540,7,15,0,18,1576
EAST AVENUE MEDICAL CENTER,2020-04-19 7:49:22,2020-04-19 7:49:22,2020-04-19,15,7,51,5,DOH000000000000540,7,13,0,17,2586
EAST AVENUE MEDICAL CENTER,2020-04-16 15:14:00,2020-04-16 15:14:00,2020-04-16,22,6,53,25,DOH000000000000540,7,3,0,18,600
