cfname,updateddate,addeddate,hfhudcode,beds_ward_v,reportdate,id,isolbed_v,icu_o,beds_ward_o,icu_v,isolbed_o,mechvent_o,mechvent_v
TARLAC PROVINCIAL HOSPITAL,2020-04-17 6:54:02,2020-04-17 6:54:02,DOH000000000000269,4,2020-04-17,754,7,0,1,0,26,2,8
TARLAC PROVINCIAL HOSPITAL,2020-04-16 9:05:50,2020-04-16 9:05:50,DOH000000000000269,4,2020-04-16,263,9,0,1,0,24,4,6
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 14:49:13,2020-04-17 14:49:13,DOH000000000000271,0,2020-04-17,1461,43,13,0,7,51,0,28
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-18 8:05:37,2020-04-18 8:05:37,DOH000000000000271,0,2020-04-18,1803,39,14,0,6,55,0,28
JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-16 17:12:04,2020-04-16 17:12:04,DOH000000000000271,0,2020-04-16,678,45,13,0,7,49,0,28
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-18 9:34:19,2020-04-18 9:34:19,DOH000000000000272,0,2020-04-18,2077,0,1,0,1,22,1,15
JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-17 15:00:31,2020-04-17 12:46:17,DOH000000000000272,0,2020-04-17,1390,0,1,0,1,22,2,14
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-17 8:22:18,2020-04-17 8:22:18,DOH000000000000274,0,2020-04-17,993,37,8,0,7,29,2,13
RAMOS GENERAL HOSPITAL,2020-04-16 14:33:52,2020-04-16 14:33:52,DOH000000000000393,0,2020-04-16,572,0,1,0,0,2,1,8
RAMOS GENERAL HOSPITAL,2020-04-17 10:29:31,2020-04-17 10:29:31,DOH000000000000393,0,2020-04-17,1271,0,1,0,0,2,1,8
